RetentionID,UserID,MonthlyActive,DaysSinceLastActivity,LifetimeValue,ChurnRisk
885,885,N,37,549.59,Low
886,886,Y,86,227.8,Low
887,887,Y,61,632.74,High
888,888,Y,60,368.74,Low
889,889,N,21,766.91,Low
890,890,N,79,750.87,High
891,891,Y,21,524.98,High
892,892,Y,42,116.65,Low
893,893,Y,4,664.9,Low
894,894,Y,1,367.77,High
895,895,Y,69,537.36,High
896,896,N,12,127.84,Medium
897,897,Y,10,410.75,Low
898,898,Y,80,705.22,Medium
899,899,Y,57,615.2,Medium
900,900,Y,60,43.34,High
901,901,Y,16,65.61,Low
902,902,Y,43,145.95,High
903,903,N,18,737.69,Medium
904,904,Y,82,812.95,Low
905,905,Y,61,512.84,Medium
906,906,N,50,264.16,Low
907,907,Y,74,14.65,Low
908,908,N,3,62.93,Low
909,909,Y,19,994.83,Low
910,910,Y,83,102.93,Low
911,911,Y,31,471.45,High
912,912,Y,36,461.01,Low
913,913,Y,31,390.33,Low
914,914,Y,33,455.86,Low
915,915,Y,44,941.34,High
916,916,Y,79,630.68,Low
917,917,Y,10,102.55,Medium
918,918,Y,27,167.88,Low
919,919,Y,81,85.78,Low
920,920,Y,12,340.25,Low
921,921,Y,36,912.86,Low
922,922,Y,26,755.02,Medium
923,923,N,36,953.52,High
924,924,Y,14,143.4,Low
925,925,Y,12,219.25,High
926,926,N,21,640.9,Low
927,927,Y,26,965.53,High
928,928,Y,38,354.42,Low
929,929,Y,13,777.93,Low
930,930,Y,27,159.67,Medium
931,931,Y,77,668.22,Medium
932,932,Y,14,837.69,High
933,933,N,75,342.2,High
934,934,Y,73,872.11,Medium
935,935,Y,46,685.68,Low
936,936,Y,4,482.11,Medium
937,937,Y,58,556.76,Low
938,938,Y,41,680.88,High
939,939,Y,7,454.42,High
940,940,Y,3,294.18,High
941,941,Y,19,176.53,High
942,942,Y,48,275.88,Low
943,943,N,35,945.31,Low
944,944,Y,18,500.08,Low
945,945,Y,89,321.84,Medium
946,946,Y,51,941.26,Low
947,947,Y,79,109.35,High
948,948,Y,76,984.76,Low
949,949,Y,72,659.86,Low
950,950,Y,68,447.31,High
951,951,Y,6,861.9,Medium
952,952,Y,86,640.14,Low
953,953,N,87,189.3,Low
954,954,Y,65,188.8,Low
955,955,Y,37,445.0,Low
956,956,Y,50,448.22,Low
957,957,Y,79,249.28,Low
958,958,N,62,819.54,High
959,959,Y,5,233.33,High
960,960,Y,29,549.44,Medium
961,961,Y,76,191.8,Low
962,962,N,46,986.9,High
963,963,Y,19,814.39,High
964,964,Y,7,915.07,High
965,965,Y,40,120.4,Medium
966,966,Y,59,391.05,Medium
967,967,N,26,866.54,Low
968,968,Y,18,106.29,Medium
969,969,N,29,371.99,Medium
970,970,Y,64,454.23,Medium
971,971,Y,45,107.6,Low
972,972,Y,71,869.75,Medium
973,973,N,55,161.74,Medium
974,974,Y,35,536.73,Low
975,975,Y,76,542.26,Low
976,976,Y,17,909.93,Low
977,977,Y,70,883.4,High
978,978,Y,1,212.88,Medium
979,979,N,75,598.36,Low
980,980,N,34,674.41,High
981,981,N,70,887.58,Medium
982,982,Y,7,203.39,Low
983,983,Y,12,853.18,Low
984,984,Y,41,303.72,High
985,985,N,44,619.94,Low
986,986,Y,30,870.85,High
987,987,Y,10,781.87,Medium
988,988,Y,73,158.21,Medium
989,989,N,34,611.07,Low
990,990,Y,11,804.37,Low
991,991,Y,29,659.3,Low
992,992,Y,31,106.21,High
993,993,Y,88,910.13,High
994,994,Y,69,155.89,High
995,995,Y,7,982.51,High
996,996,Y,81,257.15,Low
997,997,N,48,758.21,High
998,998,Y,60,887.7,Low
999,999,N,36,803.75,Low
1000,1000,Y,55,423.83,High
1001,1001,Y,77,176.78,Medium
1002,1002,Y,43,220.31,High
1003,1003,N,77,893.07,High
1004,1004,Y,84,527.36,High
1005,1005,N,38,983.36,High
1006,1006,Y,44,198.01,High
1007,1007,Y,20,66.27,Medium
1008,1008,Y,78,488.49,High
1009,1009,Y,24,457.42,Medium
1010,1010,Y,55,972.45,High
1011,1011,Y,21,379.25,Low
1012,1012,Y,23,276.95,Medium
1013,1013,Y,82,943.17,Medium
1014,1014,Y,60,305.83,Medium
1015,1015,Y,33,37.19,High
1016,1016,Y,25,476.78,Medium
1017,1017,Y,79,196.79,Low
1018,1018,N,83,594.26,High
1019,1019,Y,9,640.93,Medium
1020,1020,Y,38,522.61,High
1021,1021,Y,10,598.98,Medium
1022,1022,Y,37,809.37,High
1023,1023,Y,16,662.47,Low
1024,1024,N,46,541.86,Low
1025,1025,N,87,943.81,High
1026,1026,N,64,581.89,Low
1027,1027,Y,48,811.01,High
1028,1028,Y,63,466.2,High
1029,1029,Y,89,580.05,Low
1030,1030,Y,28,62.86,Low
1031,1031,Y,5,633.33,High
1032,1032,Y,79,449.76,Low
1033,1033,Y,27,37.01,Low
1034,1034,Y,50,716.75,High
1035,1035,Y,17,855.5,Low
1036,1036,Y,14,411.73,Medium
1037,1037,Y,36,727.56,High
1038,1038,N,48,34.61,Low
1039,1039,N,43,909.18,High
1040,1040,Y,72,369.09,Medium
1041,1041,N,48,14.37,High
1042,1042,Y,49,448.45,High
1043,1043,Y,37,667.69,High
1044,1044,Y,82,218.5,Low
1045,1045,Y,9,667.92,Medium
1046,1046,Y,9,738.95,Medium
1047,1047,N,55,520.38,High
1048,1048,N,69,367.33,Low
1049,1049,Y,68,912.79,Low
1050,1050,Y,49,319.98,High
1051,1051,Y,73,862.52,High
1052,1052,Y,9,796.93,Medium
1053,1053,Y,12,603.98,High
1054,1054,Y,66,26.18,Low
1055,1055,N,12,939.16,Low
1056,1056,N,20,571.38,Low
1057,1057,Y,63,421.3,High
1058,1058,Y,57,874.43,High
1059,1059,N,23,957.3,Low
1060,1060,N,48,895.3,High
1061,1061,Y,87,145.09,Medium
1062,1062,Y,36,428.18,Low
1063,1063,Y,32,153.62,Medium
1064,1064,N,75,146.42,Low
1065,1065,Y,40,240.99,Low
1066,1066,Y,89,775.86,High
1067,1067,Y,30,824.09,Low
1068,1068,Y,69,40.95,High
1069,1069,Y,25,870.07,Low
1070,1070,Y,42,586.73,Medium
1071,1071,Y,52,120.13,Low
1072,1072,Y,5,502.98,Low
1073,1073,Y,3,36.8,Low
1074,1074,N,36,266.36,Low
1075,1075,Y,53,146.02,High
1076,1076,N,15,557.79,Low
1077,1077,Y,36,954.9,Low
1078,1078,N,85,439.74,Low
1079,1079,Y,0,775.6,Low
1080,1080,Y,67,71.71,High
1081,1081,N,58,208.15,Medium
1082,1082,N,22,766.44,High
1083,1083,Y,8,548.81,Medium
1084,1084,N,5,524.68,Medium
1085,1085,Y,9,387.74,High
1086,1086,N,52,558.23,High
1087,1087,Y,4,335.71,Medium
1088,1088,N,19,711.01,High
1089,1089,N,45,787.74,High
1090,1090,Y,78,383.22,High
1091,1091,N,25,728.6,High
1092,1092,N,17,689.17,Medium
1093,1093,Y,3,803.14,High
1094,1094,Y,79,823.81,Low
1095,1095,Y,56,30.81,High
1096,1096,Y,45,245.55,High
1097,1097,Y,29,808.15,Medium
1098,1098,Y,71,868.0,Medium
1099,1099,Y,1,640.19,Medium
1100,1100,Y,37,548.43,High
1101,1101,Y,47,447.25,Medium
1102,1102,Y,58,584.0,High
1103,1103,Y,26,388.48,Low
1104,1104,N,57,805.21,High
1105,1105,Y,50,22.93,Low
1106,1106,Y,30,700.52,Low
1107,1107,Y,1,367.92,High
1108,1108,Y,42,332.21,High
1109,1109,Y,51,181.91,Low
1110,1110,Y,58,545.4,Low
1111,1111,Y,69,97.9,High
1112,1112,Y,38,460.56,Low
1113,1113,Y,58,805.28,Medium
1114,1114,Y,71,355.37,Low
1115,1115,Y,64,132.15,Low
1116,1116,N,39,438.45,High
1117,1117,N,10,932.8,High
1118,1118,Y,58,365.25,Medium
1119,1119,Y,59,235.97,Low
1120,1120,Y,30,942.13,Medium
1121,1121,Y,83,98.48,Medium
1122,1122,Y,84,623.39,High
1123,1123,Y,0,756.15,High
1124,1124,Y,74,274.56,Medium
1125,1125,Y,41,188.22,Low
1126,1126,Y,5,956.4,Low
1127,1127,Y,0,506.96,Medium
1128,1128,Y,14,296.1,Low
1129,1129,Y,39,999.94,Low
1130,1130,Y,31,42.59,High
1131,1131,Y,52,998.3,Low
1132,1132,Y,51,643.47,Low
1133,1133,N,61,877.61,Medium
1134,1134,Y,78,115.1,Medium
1135,1135,Y,62,721.83,Medium
1136,1136,Y,64,591.73,Low
1137,1137,Y,83,295.72,High
1138,1138,Y,64,436.46,High
1139,1139,Y,42,546.03,Low
1140,1140,Y,57,856.45,Low
1141,1141,Y,16,125.92,Medium
1142,1142,Y,67,612.58,Medium
1143,1143,Y,66,755.98,Medium
1144,1144,Y,28,510.39,Medium
1145,1145,N,78,27.73,Medium
1146,1146,Y,54,60.97,High
1147,1147,Y,0,267.59,Medium
1148,1148,Y,40,799.56,Low
1149,1149,Y,59,196.22,Medium
1150,1150,Y,18,740.55,High
1151,1151,Y,67,506.63,Medium
1152,1152,Y,12,149.27,Medium
1153,1153,N,47,523.03,Medium
1154,1154,Y,89,54.39,High
1155,1155,Y,51,607.37,High
1156,1156,Y,23,650.66,High
1157,1157,Y,34,213.37,Low
1158,1158,N,67,329.93,High
1159,1159,Y,58,459.31,High
1160,1160,Y,3,948.14,High
1161,1161,N,32,441.35,High
1162,1162,Y,70,488.27,Low
1163,1163,Y,46,210.95,Medium
1164,1164,Y,3,653.75,Medium
1165,1165,Y,25,62.06,Low
1166,1166,Y,71,838.02,Medium
1167,1167,Y,68,540.39,Low
1168,1168,N,62,802.92,High
1169,1169,Y,1,280.12,High
1170,1170,Y,47,71.69,Medium
1171,1171,Y,39,549.18,High
1172,1172,Y,25,160.39,Low
1173,1173,Y,21,452.99,Medium
1174,1174,Y,28,190.11,Low
1175,1175,N,68,609.57,Low
1176,1176,Y,30,623.48,Low
1177,1177,Y,36,753.42,High
1178,1178,Y,19,197.51,Medium
1179,1179,Y,29,607.35,High
1180,1180,Y,34,101.08,Medium
1181,1181,Y,3,713.68,High
1182,1182,Y,26,149.25,Medium
1183,1183,N,66,804.73,Low
1184,1184,Y,28,212.65,Low
1185,1185,Y,22,848.69,High
1186,1186,Y,78,39.65,Low
1187,1187,N,28,933.81,Low
1188,1188,Y,44,325.24,Low
1189,1189,Y,63,663.93,Medium
1190,1190,Y,40,194.67,Medium
1191,1191,Y,39,197.3,Medium
1192,1192,Y,28,743.04,High
1193,1193,Y,7,859.2,Medium
1194,1194,N,59,16.48,Medium
1195,1195,Y,79,875.78,High
1196,1196,Y,57,953.97,Medium
1197,1197,Y,15,684.02,Low
1198,1198,Y,30,847.46,High
1199,1199,Y,6,734.27,Medium
1200,1200,Y,4,640.0,Low
1201,1201,Y,78,569.43,Medium
1202,1202,Y,9,256.59,Low
1203,1203,Y,1,679.29,Medium
1204,1204,Y,65,617.09,High
1205,1205,N,30,984.91,Low
1206,1206,Y,68,789.94,Low
1207,1207,Y,22,346.72,High
1208,1208,Y,42,863.13,High
1209,1209,Y,32,435.6,Low
1210,1210,N,10,549.51,Low
1211,1211,Y,4,935.5,Low
1212,1212,Y,37,166.9,Low
1213,1213,Y,85,726.2,Low
1214,1214,Y,0,626.8,High
1215,1215,Y,57,610.22,Medium
1216,1216,Y,68,409.46,High
1217,1217,Y,14,994.47,High
1218,1218,N,46,953.09,High
1219,1219,N,25,858.42,High
1220,1220,Y,10,207.7,Low
1221,1221,Y,42,306.75,Low
1222,1222,Y,10,161.4,Low
1223,1223,N,38,800.68,High
1224,1224,Y,52,856.39,Low
1225,1225,Y,54,665.15,High
1226,1226,N,24,705.72,High
1227,1227,Y,2,210.17,Low
1228,1228,Y,80,305.67,High
1229,1229,Y,66,914.02,Medium
1230,1230,Y,2,932.51,High
1231,1231,Y,48,635.34,Medium
1232,1232,Y,62,431.27,Low
1233,1233,Y,22,120.9,High
1234,1234,Y,30,656.5,Medium
1235,1235,N,18,576.29,Low
1236,1236,Y,7,370.68,Medium
1237,1237,Y,31,787.32,Low
1238,1238,Y,31,173.12,Medium
1239,1239,Y,37,66.35,Low
1240,1240,Y,36,484.42,Low
1241,1241,N,52,793.12,High
1242,1242,Y,47,493.09,Low
1243,1243,Y,87,628.04,Low
1244,1244,N,72,261.02,Low
1245,1245,Y,12,396.04,High
1246,1246,Y,87,383.64,High
1247,1247,Y,26,576.62,Low
1248,1248,Y,7,530.53,Low
1249,1249,Y,21,259.54,Low
1250,1250,Y,63,328.62,High
1251,1251,Y,45,651.65,High
1252,1252,Y,42,926.46,Medium
1253,1253,Y,89,251.26,High
1254,1254,Y,72,532.4,High
1255,1255,Y,75,500.86,Medium
1256,1256,Y,45,256.32,Medium
1257,1257,Y,47,436.78,Low
1258,1258,Y,13,766.33,Low
1259,1259,Y,3,38.65,Low
1260,1260,N,48,990.04,Low
1261,1261,Y,2,306.45,Low
1262,1262,Y,31,130.12,Low
1263,1263,Y,8,684.62,Medium
1264,1264,Y,27,139.43,Low
1265,1265,Y,40,156.12,Medium
1266,1266,Y,63,19.3,Low
1267,1267,Y,41,998.54,Low
1268,1268,Y,86,258.34,Low
1269,1269,Y,39,409.86,Low
1270,1270,N,26,684.03,Low
1271,1271,Y,66,863.96,Low
1272,1272,Y,71,984.02,Low
1273,1273,Y,16,797.85,High
1274,1274,N,59,116.42,Medium
1275,1275,Y,19,104.45,Medium
1276,1276,Y,31,972.26,Low
1277,1277,N,80,548.62,Medium
1278,1278,Y,57,817.2,Low
1279,1279,Y,45,891.42,Medium
1280,1280,Y,59,515.75,Medium
1281,1281,N,66,101.55,High
1282,1282,Y,63,481.85,High
1283,1283,N,10,896.33,Low
1284,1284,N,78,504.74,Low
1285,1285,Y,19,191.2,Low
1286,1286,N,78,851.95,High
1287,1287,Y,40,760.67,High
1288,1288,N,62,193.51,Low
1289,1289,Y,89,316.86,Low
1290,1290,Y,88,614.32,Low
1291,1291,Y,21,124.36,Medium
1292,1292,Y,30,859.31,High
1293,1293,Y,46,579.27,Low
1294,1294,Y,12,930.2,High
1295,1295,Y,30,530.92,High
1296,1296,Y,79,172.52,Low
1297,1297,Y,44,954.14,High
1298,1298,Y,38,46.42,Low
1299,1299,Y,44,313.68,Medium
1300,1300,Y,39,527.93,High
1301,1301,Y,57,436.71,Low
1302,1302,N,67,920.09,High
1303,1303,Y,3,576.11,Medium
1304,1304,Y,82,278.24,High
1305,1305,Y,25,431.67,Low
1306,1306,Y,20,514.01,Low
1307,1307,Y,9,97.52,High
1308,1308,Y,79,256.76,High
1309,1309,Y,50,495.95,Low
1310,1310,Y,89,370.9,Low
1311,1311,Y,35,198.54,High
1312,1312,Y,59,313.17,Low
1313,1313,Y,80,902.18,High
1314,1314,N,86,433.24,Low
1315,1315,Y,82,631.38,High
1316,1316,N,38,116.41,Medium
1317,1317,Y,1,982.07,Low
1318,1318,N,71,721.61,Medium
1319,1319,Y,8,711.2,Low
1320,1320,Y,80,105.32,Low
1321,1321,Y,54,815.63,Low
1322,1322,Y,54,334.5,Low
1323,1323,Y,63,935.17,Medium
1324,1324,Y,77,501.74,Low
1325,1325,N,49,377.36,High
1326,1326,Y,40,204.87,High
1327,1327,Y,57,378.19,Low
1328,1328,Y,26,183.14,High
1329,1329,N,66,757.07,Low
1330,1330,Y,68,305.76,High
1331,1331,N,32,702.11,Low
1332,1332,Y,74,211.77,High
1333,1333,Y,53,603.37,Low
1334,1334,Y,29,315.04,Medium
1335,1335,Y,11,800.28,High
1336,1336,Y,69,732.93,Low
1337,1337,Y,80,160.81,Low
1338,1338,Y,5,169.71,Medium
1339,1339,N,2,235.08,Low
1340,1340,Y,84,148.63,Medium
1341,1341,Y,58,305.5,High
1342,1342,Y,67,687.26,Low
1343,1343,Y,63,722.49,Medium
1344,1344,Y,20,538.04,Low
1345,1345,Y,11,439.04,Low
1346,1346,Y,83,344.15,Low
1347,1347,Y,19,806.62,High
1348,1348,Y,82,349.82,Low
1349,1349,N,39,44.91,High
1350,1350,N,59,607.6,High
1351,1351,Y,25,513.09,Low
1352,1352,Y,60,941.24,Medium
1353,1353,N,25,130.09,High
1354,1354,Y,61,390.85,Low
1355,1355,Y,82,614.25,Low
1356,1356,Y,41,589.63,Low
1357,1357,Y,66,886.51,Medium
1358,1358,Y,55,778.1,High
1359,1359,Y,76,764.09,High
1360,1360,Y,63,117.55,High
1361,1361,Y,45,620.99,Medium
1362,1362,Y,75,489.71,Low
1363,1363,Y,52,154.76,Low
1364,1364,Y,6,884.73,Low
1365,1365,N,47,858.46,Low
1366,1366,Y,37,551.23,High
1367,1367,Y,31,915.41,High
1368,1368,Y,5,429.54,High
1369,1369,Y,73,436.72,Low
1370,1370,Y,1,277.88,Low
1371,1371,Y,75,642.14,Low
1372,1372,Y,28,525.57,Medium
1373,1373,N,16,44.08,Medium
1374,1374,Y,23,617.2,High
1375,1375,Y,17,485.3,High
1376,1376,Y,25,115.92,Low
1377,1377,Y,65,451.57,Low
1378,1378,Y,74,801.66,High
1379,1379,Y,80,339.04,Low
1380,1380,Y,38,38.26,Medium
1381,1381,Y,46,834.22,High
1382,1382,Y,54,556.79,Medium
1383,1383,Y,29,697.38,Low
1384,1384,Y,26,858.36,Low
1385,1385,Y,26,291.31,High
1386,1386,Y,52,259.35,High
1387,1387,N,70,385.56,Medium
1388,1388,Y,28,967.76,Low
1389,1389,Y,34,642.55,High
1390,1390,Y,64,704.48,Low
1391,1391,N,29,348.19,Low
1392,1392,Y,73,851.07,Low
1393,1393,Y,24,933.95,Low
1394,1394,Y,24,884.54,High
1395,1395,Y,71,15.08,Medium
1396,1396,Y,35,638.94,Low
1397,1397,Y,59,940.01,Low
1398,1398,Y,32,770.23,High
1399,1399,N,28,940.41,Low
1400,1400,Y,72,93.98,Medium
1401,1401,Y,24,674.65,Medium
1402,1402,Y,53,194.57,Low
1403,1403,Y,62,305.07,Low
1404,1404,Y,42,798.33,Medium
1405,1405,Y,42,298.2,Low
1406,1406,Y,88,223.24,Medium
1407,1407,Y,1,681.59,High
1408,1408,Y,53,803.6,Medium
1409,1409,N,16,765.68,Medium
1410,1410,Y,7,300.39,High
1411,1411,Y,54,303.19,Medium
1412,1412,Y,15,565.22,Low
1413,1413,Y,0,875.88,Low
1414,1414,N,25,710.82,Medium
1415,1415,Y,9,964.91,High
1416,1416,Y,31,163.1,Low
1417,1417,Y,15,445.68,Medium
1418,1418,Y,22,397.62,Low
1419,1419,N,88,887.21,Low
1420,1420,Y,5,652.54,Medium
1421,1421,Y,22,663.01,Low
1422,1422,Y,38,327.68,Medium
1423,1423,Y,65,594.58,Low
1424,1424,N,75,404.68,Low
1425,1425,Y,78,311.14,Low
1426,1426,Y,66,244.07,Medium
1427,1427,Y,4,130.92,High
1428,1428,Y,12,965.0,High
1429,1429,N,32,805.51,Medium
1430,1430,N,41,585.0,High
1431,1431,Y,19,942.59,Low
1432,1432,N,59,109.26,Medium
1433,1433,Y,4,312.89,Low
1434,1434,Y,81,46.8,Low
1435,1435,Y,35,994.83,High
1436,1436,N,20,313.37,Medium
1437,1437,Y,60,187.5,Medium
1438,1438,Y,35,992.09,High
1439,1439,Y,55,919.37,Low
1440,1440,N,47,389.18,Low
1441,1441,Y,47,418.43,Medium
1442,1442,Y,47,434.39,High
1443,1443,Y,8,274.7,Low
1444,1444,Y,76,118.89,High
1445,1445,Y,38,844.8,Medium
1446,1446,Y,42,903.27,High
1447,1447,N,11,657.66,Medium
1448,1448,Y,59,155.11,Low
1449,1449,N,29,168.86,High
1450,1450,Y,27,214.41,Low
1451,1451,Y,75,944.51,Low
1452,1452,Y,4,517.63,Low
1453,1453,Y,9,61.3,Low
1454,1454,Y,36,801.97,Medium
1455,1455,Y,17,334.16,Low
1456,1456,N,28,46.6,Medium
1457,1457,Y,48,998.35,Low
1458,1458,Y,56,877.3,Low
1459,1459,Y,19,849.63,Medium
1460,1460,Y,53,463.19,Medium
1461,1461,N,49,785.05,Low
1462,1462,Y,63,204.1,Low
1463,1463,Y,62,846.52,Low
1464,1464,Y,31,558.25,Low
1465,1465,Y,75,793.91,Low
1466,1466,Y,55,148.19,Low
1467,1467,N,50,270.59,Medium
1468,1468,Y,10,456.52,Low
1469,1469,Y,63,256.14,Medium
1470,1470,Y,15,69.13,Low
1471,1471,Y,40,533.76,Medium
1472,1472,N,84,835.34,Low
1473,1473,Y,0,556.18,Low
1474,1474,N,54,759.46,Medium
1475,1475,N,12,161.91,High
1476,1476,N,86,260.93,High
1477,1477,Y,18,386.41,High
1478,1478,N,45,307.14,Low
1479,1479,Y,41,736.27,High
1480,1480,Y,52,223.79,Low
1481,1481,Y,78,739.44,Low
1482,1482,Y,65,646.96,High
1483,1483,Y,27,946.49,Medium
1484,1484,Y,88,70.17,Low
1485,1485,N,81,139.72,Low
1486,1486,Y,52,909.79,Medium
1487,1487,Y,45,844.05,Low
1488,1488,Y,56,250.21,High
1489,1489,N,29,441.17,Low
1490,1490,Y,67,736.51,Low
1491,1491,N,37,406.99,High
1492,1492,Y,9,336.46,Medium
1493,1493,Y,0,107.87,Medium
1494,1494,Y,60,653.94,Low
1495,1495,N,72,55.63,High
1496,1496,Y,54,264.05,High
1497,1497,Y,38,364.0,Medium
1498,1498,N,76,476.7,Low
1499,1499,N,34,896.75,High
1500,1500,Y,29,431.06,Medium
1501,1501,Y,57,691.76,Medium
1502,1502,Y,23,549.73,Medium
1503,1503,Y,81,421.92,Low
1504,1504,N,38,758.55,Medium
1505,1505,N,21,598.82,Low
1506,1506,Y,74,373.29,Medium
1507,1507,Y,35,918.91,High
1508,1508,Y,62,834.7,Low
1509,1509,Y,75,482.14,High
1510,1510,N,78,630.7,Medium
1511,1511,Y,21,454.06,High
1512,1512,Y,22,517.59,Medium
1513,1513,N,43,154.92,Low
1514,1514,N,48,189.85,High
1515,1515,Y,1,420.79,Low
1516,1516,Y,63,945.36,High
1517,1517,Y,20,341.86,High
1518,1518,N,78,207.83,Medium
1519,1519,Y,5,539.77,Low
1520,1520,Y,62,920.11,Medium
1521,1521,N,41,637.89,Low
1522,1522,Y,85,429.11,Low
1523,1523,Y,48,569.27,Medium
1524,1524,Y,85,511.5,Low
1525,1525,Y,86,503.01,High
1526,1526,Y,25,891.44,High
1527,1527,N,89,760.91,High
1528,1528,Y,3,810.39,Medium
1529,1529,Y,38,151.66,High
1530,1530,Y,33,984.89,Medium
1531,1531,Y,20,294.89,Low
1532,1532,Y,35,781.24,High
1533,1533,Y,70,179.84,Low
1534,1534,Y,69,624.13,Low
1535,1535,N,34,982.09,High
1536,1536,Y,65,792.03,High
1537,1537,Y,75,755.26,Medium
1538,1538,Y,38,229.65,High
1539,1539,Y,19,649.65,Low
1540,1540,Y,40,125.75,High
1541,1541,Y,47,627.89,High
1542,1542,N,57,351.05,Medium
1543,1543,Y,1,775.22,Low
1544,1544,Y,54,210.49,Low
1545,1545,Y,32,589.91,Medium
1546,1546,N,19,372.05,Low
1547,1547,Y,74,13.58,Low
1548,1548,N,18,801.59,Low
1549,1549,Y,51,30.75,Medium
1550,1550,Y,77,215.38,Low
1551,1551,Y,3,395.22,Low
1552,1552,Y,82,538.35,Low
1553,1553,N,13,744.0,High
1554,1554,Y,80,296.38,Low
1555,1555,Y,86,950.16,Low
1556,1556,Y,24,900.61,Low
1557,1557,Y,67,197.79,Medium
1558,1558,Y,80,579.96,Low
1559,1559,Y,12,327.57,Low
1560,1560,Y,77,106.91,Medium
1561,1561,Y,6,910.48,Low
1562,1562,Y,76,110.69,Medium
1563,1563,Y,18,740.3,High
1564,1564,Y,36,154.11,Low
1565,1565,N,21,332.36,Low
1566,1566,Y,31,639.15,Low
1567,1567,N,20,273.6,High
1568,1568,Y,46,468.2,High
1569,1569,Y,61,115.77,Low
1570,1570,Y,7,22.79,High
1571,1571,Y,15,903.05,Low
1572,1572,Y,45,710.72,Low
1573,1573,Y,2,386.35,Low
1574,1574,N,44,736.9,High
1575,1575,Y,42,879.18,Medium
1576,1576,Y,25,513.41,High
1577,1577,Y,37,977.2,Low
1578,1578,N,86,602.1,High
1579,1579,Y,82,585.22,High
1580,1580,Y,85,38.69,Medium
1581,1581,Y,32,634.51,High
1582,1582,Y,78,321.31,Low
1583,1583,N,47,354.11,Medium
1584,1584,Y,6,669.53,High
1585,1585,Y,56,725.85,High
1586,1586,N,39,245.93,High
1587,1587,Y,31,58.31,High
1588,1588,Y,79,52.44,Low
1589,1589,Y,9,170.74,Low
1590,1590,Y,26,157.56,High
1591,1591,Y,65,243.69,High
1592,1592,Y,55,612.82,Low
1593,1593,Y,86,614.25,Low
1594,1594,Y,46,686.95,Low
1595,1595,Y,86,730.73,Low
1596,1596,Y,60,405.42,Low
1597,1597,Y,5,350.63,High
1598,1598,Y,4,414.14,Medium
1599,1599,Y,40,845.74,Low
1600,1600,Y,29,415.83,Low
1601,1601,N,65,535.5,Medium
1602,1602,Y,39,762.57,Low
1603,1603,Y,6,543.6,Medium
1604,1604,N,32,130.57,Low
1605,1605,Y,40,638.3,Low
1606,1606,Y,47,954.89,Medium
1607,1607,Y,28,830.44,Low
1608,1608,Y,74,780.22,Low
1609,1609,N,68,109.69,Medium
1610,1610,N,24,482.87,Low
1611,1611,Y,5,43.14,Medium
1612,1612,Y,25,367.63,High
1613,1613,Y,4,464.85,High
1614,1614,Y,43,254.94,Low
1615,1615,Y,58,856.22,Low
1616,1616,Y,13,274.47,Low
1617,1617,Y,6,908.46,Low
1618,1618,Y,14,558.99,Medium
1619,1619,Y,31,186.51,Medium
1620,1620,Y,38,699.18,Low
1621,1621,Y,9,526.6,High
1622,1622,Y,81,31.72,Medium
1623,1623,Y,24,266.56,High
1624,1624,N,81,175.31,Low
1625,1625,Y,1,445.19,Medium
1626,1626,Y,58,92.84,Low
1627,1627,Y,32,659.88,Low
1628,1628,N,41,313.71,Low
1629,1629,Y,48,550.58,Low
1630,1630,N,13,814.07,High
1631,1631,Y,37,812.56,Low
1632,1632,N,46,448.98,Medium
1633,1633,Y,13,709.75,Low
1634,1634,N,36,656.67,Low
1635,1635,Y,76,985.41,Medium
1636,1636,Y,65,409.19,Low
1637,1637,Y,75,325.26,High
1638,1638,Y,17,619.05,Low
1639,1639,N,78,117.33,High
1640,1640,Y,70,780.28,High
1641,1641,Y,15,949.07,Low
1642,1642,Y,39,146.25,Medium
1643,1643,Y,27,670.47,Low
1644,1644,Y,68,197.74,High
1645,1645,N,23,743.44,Medium
1646,1646,Y,52,864.44,Low
1647,1647,Y,85,428.45,Low
1648,1648,Y,3,872.99,High
1649,1649,Y,23,718.33,Low
1650,1650,Y,84,831.83,High
1651,1651,Y,25,314.12,High
1652,1652,Y,57,425.07,High
1653,1653,N,15,813.5,High
1654,1654,Y,11,881.18,Medium
1655,1655,Y,5,331.54,Low
1656,1656,N,48,696.05,High
1657,1657,Y,37,347.68,Low
1658,1658,Y,46,217.11,Medium
1659,1659,Y,76,393.82,Medium
1660,1660,Y,45,888.27,High
1661,1661,Y,64,785.39,High
1662,1662,Y,15,11.98,Low
1663,1663,Y,52,823.1,Low
1664,1664,Y,86,194.78,High
1665,1665,Y,73,185.99,Low
1666,1666,Y,52,910.02,High
1667,1667,Y,62,524.8,High
1668,1668,Y,23,404.8,Low
1669,1669,Y,13,393.26,Low
1670,1670,Y,84,323.49,Low
1671,1671,Y,18,257.75,High
1672,1672,Y,40,561.94,High
1673,1673,Y,83,203.24,High
1674,1674,N,6,713.34,Low
1675,1675,Y,8,111.49,Low
1676,1676,N,15,793.57,Low
1677,1677,Y,84,725.64,Low
1678,1678,Y,44,264.14,High
1679,1679,Y,10,938.1,Medium
1680,1680,Y,64,957.48,High
1681,1681,Y,44,713.21,Medium
1682,1682,Y,80,595.13,Medium
1683,1683,Y,80,742.9,Low
